ชื่อสาขา,ที่อยู่,ละติจูด,ลองจิจูด,คะแนนเฉลี่ย,จำนวนรีวิว,ลักษณะทำเล,ประเภทกลุ่มเป้าหมาย,จำนวนสาขาในรัศมี_2_กม,ระยะห่างจากสาขาใกล้สุด_กม,Place_ID
Café Amazon - คาเฟ่ อเมซอน@ศรีสาคร,6GM2+W78 ตำบล ซากอ อำเภอ ศรีสาคร นราธิวาส 96210 ประเทศไทย,6.2344972,101.5000717,4.3,11,ไม่สามารถระบุได้,,0,17.44,ChIJtd3bc-d5tDERXpYPV8GT5jw
Amazon (ปตทดุซงญอ),127 2 ตำบล ดุซงญอ อำเภอ จะแนะ นราธิวาส 96220 ประเทศไทย,6.1785359,101.6993547,4.0,1,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,12.63,ChIJl6ZvQjRztDER_51b5xxVgr0
Café Amazon Takbai,"14/2 ม.4 ต, ตำบล เจ๊ะเห อำเภอ ตากใบ นราธิวาส 96110 ประเทศไทย",6.261772499999999,102.0393594,4.4,141,ไม่สามารถระบุได้,,0,21.71,ChIJrxnhknYBtDERVyVvelsArAs
Café Amazon,C7CH+6MX กรงปีนัง ตำบล กรงปินัง อำเภอ กรงปินัง ยะลา 95000 ประเทศไทย,6.4206127,101.2792467,3.0,3,ไม่สามารถระบุได้,,0,7.83,ChIJn-SW-RF5szERRbfmeQP9FJE
Café Amazon รือเสาะ,9GR8+H4G ตำบล รือเสาะออก อำเภอ รือเสาะ นราธิวาส 96150 ประเทศไทย,6.391439999999999,101.5153431,4.8,6,ไม่สามารถระบุได้,,0,12.91,ChIJH6BHsFuFszERHPn4UPhj4q4
Café Amazon,"147/3 หมู่ 8 ถนนเพชรเกษม ต.ลำภู อ.เมือง, คณะบุคคล สถานบริการเชื้อเพลิงกรม, ตำบล ลำภู อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย",6.4079397,101.7952633,4.2,144,ไม่สามารถระบุได้,,0,3.04,ChIJq0LGpy_yszERHcwJDTKpqN0
Café Amazon ปตท.กาเสาะ,9RP6+6F8 ตำบล ลำภู อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.385534199999999,101.8112182,4.3,52,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,3.04,ChIJrf_SHevxszERC74EPwFGXBk
คาเฟ่ อเมซอน บ้านละหาร,3 3 ตำบล ละหาร อำเภอ ยี่งอ นราธิวาส 96180 ประเทศไทย,6.403271699999999,101.7296535,4.3,9,ไม่สามารถระบุได้,,0,3.45,ChIJ22VVVDzzszERlR3uz6A1uZg
Café Amazon วนเวียนลองกอง ตันหยงมัส,"26, ถนนเทศบาล 2, ตำบล ตันหยงมัส อำเภอ ระแงะ นราธิวาส 96130 ประเทศไทย",6.291942799999999,101.7129345,5.0,6,ไม่สามารถระบุได้,,0,2.65,ChIJ3XImnyz1szERsnFpfzWEwbo
Café Amazon สาขาโรงพยาบาลนราธิวาสราชนครินทร์,Café Amazon สาขาโรงพยาบาลนราธิวาสราชนครินทร์ 180 ถ ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4145042,101.8226753,5.0,1,ไม่สามารถระบุได้,ผู้ป่วย/บุคลากรทางการแพทย์,2,1.62,ChIJgzfhLQDxszERGo9RnBGixUQ
Café Amazon ปตท.ริมน้ำบางนรา,CRCP+J59 ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.421533900000001,101.8354902,4.5,45,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,2,1.62,ChIJw61Sgc3xszERlkUiwG80KwQ
Café Amazon Tanyong Mat,157 4 ตำบล ตันหยงมัส อำเภอ ระแงะ นราธิวาส 96130 ประเทศไทย,6.298938,101.7358309,4.4,12,ไม่สามารถระบุได้,,0,2.65,ChIJ1ciNM1P1szERwU58O0gQq7U
Café Amazon Yi-ngo,CP82+7C8 ลุโบะบือซา อำเภอ ยี่งอ นราธิวาส 96180 ประเทศไทย,6.415674399999999,101.7010865,3.9,9,ไม่สามารถระบุได้,,0,3.45,ChIJsaX1GNeNszERFR0OmFcOtQY
Café Amazon,"GCH8+XXR, Soi MBI 2, ตำบล สำนักขาม อำเภอสะเดา สงขลา 90320 ประเทศไทย",6.529989,100.4173836,4.5,138,ไม่สามารถระบุได้,,0,11.41,ChIJy0ANCji7TDARw8ArHgfTdlc
Café Amazon ปตท.บันนังดามา(กาบัง),ตำบล กาบัง อำเภอ กาบัง ยะลา 95120 ประเทศไทย,6.481197799999999,101.0268547,4.3,4,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,11.56,ChIJSb3jKgppszERqxQmuN7tiRI
Café Amazon ปตท.ยะหา,ลูกา ตำบล ยะหา อำเภอ ยะหา ยะลา 95120 ประเทศไทย,6.4882254,101.131094,4.2,70,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,11.56,ChIJwVYAouBvszERHbTvpeqWw50
คาเฟ่ อเมซอน,318 ถนน ผังเมือง 4 สะเตง อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย,6.5337381,101.2860472,4.5,187,ไม่สามารถระบุได้,,5,0.92,ChIJb5wY6YF3szERdoggkaBA5Kk
Café Amazon,88 ถนน สิโรรสสาย 2 สะเตง อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย,6.535316099999999,101.265891,4.1,54,ไม่สามารถระบุได้,,3,1.5,ChIJtYgxftd3szERYYxxqM3gM2c
Café Amazon,"2/9 ม.4 ต.ท่าสาป อ.เมืองยะลา ยะลา, ตำบล พร่อน อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย",6.5609201,101.2601322,4.2,158,ไม่สามารถระบุได้,,2,0.36,ChIJ76s12wx0szERGR3UXAFq80I
Café Amazon,256 ถนน พิพิธภักดี สะเตง อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย,6.548532199999999,101.2848667,4.3,14,ไม่สามารถระบุได้,,4,0.58,ChIJj4aruTR1szER6QfZOLLVl6E
Café Amazon คาเฟ่อเมซอน สาขา ศอ.บต. ยะลา,90 ถนน สุขยางค์ สะเตง อำเภอเบตง ยะลา 95000 ประเทศไทย,6.530226499999999,101.2784686,5.0,4,ไม่สามารถระบุได้,,3,0.92,ChIJX9cGZ753szER_dHeiho-FSk
Café Amazon ม.ราชภัฏยะลา,H72Q+9Q9 Unnamed Road สะเตง อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย,6.5509184,101.2894855,4.4,85,ไม่สามารถระบุได้,,4,0.57,ChIJJzwoR4t1szERs7sMTHnrVlc
Café Amazon Big C ยะลา,H72C+HCC สะเตง อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย,6.551446899999999,101.2710078,0.0,0,ไม่สามารถระบุได้,นักช้อป,5,0.68,ChIJv0_HIwB1szERh22lJ7LCSvE
Café Amazon Yala Hospital,G7XG+CH3 ถ. สิโรรส สะเตง อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย,6.548515,101.2764362,4.3,34,ไม่สามารถระบุได้,ผู้ป่วย/บุคลากรทางการแพทย์,5,0.68,ChIJSby8acp1szER9QY4qv6Tciw
Café Amazon ปตท.ยะลา-ปัตตานี (ขาเข้ายะลา),H776+9VV ตำบล ท่าสาป อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย,6.563496799999999,101.2621788,4.7,13,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,2,0.36,ChIJT8DflU51szERhA0y43TEYJk
ร้าน กาแฟ Amazon ห้างหุ้นส่วนจำ อัสรี คอฟฟี่,F8J9+822 ตำบล บุดี อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย,6.480758100000001,101.3175179,4.5,57,ไม่สามารถระบุได้,นักช้อป,1,1.17,ChIJ_17brLl3szERx7p5eKKjL78
Café Amazon มลายูบางกอก,G79H+JW3 สะเตง อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย,6.519008899999999,101.2798057,4.3,124,ไม่สามารถระบุได้,,2,1.25,ChIJSTG6GVR3szERc7lwSAvS68o
Café Amazon at Amanah ปตท.มัรกัส,H832+WWV 4082 สะเตง อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย,6.5548556,101.3022945,4.4,62,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,1,1.48,ChIJx4NL-Qt1szERmlYwT8Ui5J8
Café Amazon ปตท.บูเกะคละ (บุดีขาออก),F8FG+FH6 ตำบล บุดี อำเภอเมืองยะลา ยะลา 95000 ประเทศไทย,6.4740037,101.3257166,0.0,0,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,1,1.18,ChIJu4wnLgB3szER-KIBGnpn4UM
Café Amazon,"146, ตำบล กายูบอเกาะ อำเภอ รามัน ยะลา 95140 ประเทศไทย",6.4750853,101.4339097,3.5,4,ไม่สามารถระบุได้,,0,11.97,ChIJ47baXNqbszERkg_QHic5Vs8
Café Amazon Bacho,232 หมู่4 ถ.เพชรเกษม ตำบล บาเจาะ อำเภอ บาเจาะ นราธิวาส 96170 ประเทศไทย,6.506693400000001,101.656993,4.0,56,ไม่สามารถระบุได้,,0,11.18,ChIJk5PmPXSTszERtDffl1DEK18
Café Amazon-Ptt.Khok Khian(คาเฟ่ อเมซอน-ปตท.โคกเคียน),88/1 ถนน โคกเคียน ตำบล โคกเคียน อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.452145,101.804415,4.3,10,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,2.78,ChIJ2TCVIgTvszER4itrUIBBg9o
คาเฟ่ อเมซอน นราธิวาส หอนาฬิกา,ไชยบูลย์ 5/1 ถนนวิจิตรไชยบรูณ์ ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4313195,101.8239941,4.5,63,ไม่สามารถระบุได้,,3,0.58,ChIJ9SytqbTxszERzjdgX3ZS1Ws
Café Amazon พิธาน (หน้าโรงแรมตันหยง),CRPF+MPG 4136 ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4365234,101.8241045,4.6,10,ไม่สามารถระบุได้,,1,0.58,ChIJ93cyz-PxszERoJgqSTpPims
Café Amazon บ้านควน สาขา บจ.ลอยวัฒนา,"272 หมู่ที่ 5 ถ.ยนตรการกำธร ต.บ้านควน อ.เมือง จ.สตูล, ตำบล บ้านควน อำเภอเมืองสตูล สตูล 91140 ประเทศไทย",6.6979429,100.0665723,4.2,73,ไม่สามารถระบุได้,,0,7.26,ChIJK-6ZCmXyTDAR1am7KVOK52A
Café Amazon,J3J9+XV8 406 ตำบล คลองขุด อำเภอเมืองสตูล สตูล 91000 ประเทศไทย,6.632401199999999,100.0697036,4.5,11,ไม่สามารถระบุได้,,0,2.01,ChIJV0ocUgaNTDARFV-QezWu2Cg
Café Amazon,193 5 ถนน หัตถกรรมศึกษา ตำบล พิมาน อำเภอเมืองสตูล สตูล 91000 ประเทศไทย,6.6142468,100.069179,4.2,14,ไม่สามารถระบุได้,,0,2.01,ChIJ8dOTDC2NTDARvkNNobX2EdQ
อเมซอน@ปาดังเบซาร์,14นนนศิริมงคลl ตำบล ปาดังเบซาร์ อำเภอสะเดา สงขลา 90240 ประเทศไทย,6.6707676,100.323213,4.5,169,ไม่สามารถระบุได้,,0,11.8,ChIJJVMNI_nBTDAREdSfpg0gdyE
Cafe Amazon สาขาสะเดา,ซ.1 ซอยเหรียญรุ่งโรจน์ ต ถ.กาญจนวณิชย์ ตำบล สะเดา อำเภอสะเดา สงขลา 90120 ประเทศไทย,6.6329682,100.4229858,4.9,10,ไม่สามารถระบุได้,นักช้อป,0,11.41,ChIJtUgVJgC5TDARqP7Y3vinAlE
Café Amazon สาขา ปตท.สะบ้าย้อย,90210 ตำบล สะบ้าย้อย อำเภอ สะบ้าย้อย สงขลา 90210 ประเทศไทย,6.620168199999999,100.9471893,4.6,11,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,17.72,ChIJZVz81JRBszERXa7jZqs3HNs
Café Amazon ปตท.ลำใหม่,85/9 ลำใหม่ อำเภอเมืองยะลา ยะลา 95160 ประเทศไทย,6.582545199999999,101.1969701,4.2,31,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,7.38,ChIJvfnoNfhyszERqeNzrpwCDZI
Café Amazon ปตท.เขาตูม,148 ตำบล เขาตูม อำเภอ ยะรัง ปัตตานี 94160 ประเทศไทย,6.5958171,101.300505,4.1,11,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,4.53,ChIJGSRNleh1szERw8SHTILCKAU
Amazon Cafe' ปตท.กะพ้อ,HGFV+R6W 4060 ตำบล กะรุบี อำเภอ กะพ้อ ปัตตานี 94230 ประเทศไทย,6.574548,101.5430993,5.0,3,ไม่สามารถระบุได้,นักช้อป,0,10.4,ChIJ0bXCQwCXszERWGoAXCTWsM8
คาเฟ่อเมซอนทุ่งยางแดง,JCMV+4FC 4071 ตำบล พิเทน อำเภอ ทุ่งยางแดง ปัตตานี 94140 ประเทศไทย,6.632816999999999,101.4436314,4.4,11,ไม่สามารถระบุได้,,0,12.75,ChIJK3eflTSjszERGkJBe6lsudA
Cafe Amazon,"JJ3J+XR9, 2, ปะลุกาสาเมาะ อำเภอ บาเจาะ นราธิวาส 96170 ประเทศไทย",6.6049012,101.6321173,5.0,1,ไม่สามารถระบุได้,นักช้อป,0,10.4,ChIJvVQxGwCVszERL9vYAE_SNnk
Café Amazon,12 40 ตำบล ตะลุบัน อำเภอ สายบุรี ปัตตานี 94110 ประเทศไทย,6.7014374,101.6123025,3.9,9,ไม่สามารถระบุได้,,0,10.9,ChIJ41LlMxe_szERe2VQgUF38I0
Café Amazon,R4X4+3C4 ตำบล ทุ่งนุ้ย อำเภอ ควนกาหลง สตูล 91130 ประเทศไทย,6.847639999999999,100.1060714,4.4,127,ไม่สามารถระบุได้,,1,1.71,ChIJS_qzwzTlTDARKfdtWRFI4ks
Café Amazon,R3MX+CVP ตำบล ทุ่งนุ้ย อำเภอ ควนกาหลง สตูล 91130 ประเทศไทย,6.833585999999999,100.0997038,2.7,6,ไม่สามารถระบุได้,,1,1.7,ChIJQQ7dXYDlTDARWInFlHFjlQY
Café Amazon สาขา ตลาดทุ่งลุง,391 11 หมู่ 1 ถ. กาญจนวนิช ตำบล พะตง อำเภอหาดใหญ่ สงขลา 90230 ประเทศไทย,6.847917,100.470315,4.9,13,ไม่สามารถระบุได้,,0,4.88,ChIJYRzOYQDRTDARoNDTrql7stI
Café Amazon ปตท.ทุ่งน้ำขาว,PMCW+87H ตำบล นาทวี อำเภอ นาทวี สงขลา 90160 ประเทศไทย,6.7208098,100.695737,4.5,14,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,3.27,ChIJIVajHvczszERN46Z3RE4kgQ
Café Amazon ปตท.นาทวี-คลองแงะ,PMVH+W9H ตำบล คลองทราย อำเภอ นาทวี สงขลา 90160 ประเทศไทย,6.7448082,100.6784887,4.4,64,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,3.27,ChIJtYOecLszszERLxlRmUgRT8I
Café Amazon ปตท.นาทวี ออยล์,QPF3+H5V 408 ตำบล ฉาง อำเภอ นาทวี สงขลา 90160 ประเทศไทย,6.7739753,100.7029343,4.5,91,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,4.2,ChIJD8M6FiQyszERE0VpYJaZX3Q
Café Amazon ปตท.เทพา บจ.ฤดีมาศ,RXG7+2F8 พรุหมาก ตำบล เทพา อำเภอ เทพา สงขลา 90150 ประเทศไทย,6.825039599999999,100.9637134,4.0,3,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,5.11,ChIJFRlCIwAjszERWcMXR8hVWGA
คาเฟ่ อเมซอน,"42, ตำบล มะกรูด อำเภอ โคกโพธิ์ ปัตตานี 94120 ประเทศไทย",6.7370417,101.1223074,4.6,147,ไม่สามารถระบุได้,นักช้อป,0,7.51,ChIJy09SYf4RszERzVZ9koYyTVA
Café Amazon ปตท.ตุยง,ตำบล ตุยง อำเภอ หนองจิก ปัตตานี 94170 ประเทศไทย,6.849718200000001,101.1975945,4.2,66,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,3.33,ChIJ7aNp12MFszERPvfZadzNSL0
Café Amazon ปตท.ดอนยาง(ขาขึ้นหาดใหญ่),75/4 ตำบล บางเขา อำเภอ หนองจิก ปัตตานี 94170 ประเทศไทย,6.8040927,101.1333856,4.2,52,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,1,1.1,ChIJK9vE6a8bszERGhFZZjsnSl0
Cafe Amazon ปตท.ภคภูมิ (บางเขา),194 ตำบล บางเขา อำเภอ หนองจิก ปัตตานี 94170 ประเทศไทย,6.804588799999999,101.1433489,4.0,1,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,1,1.1,ChIJ3_IM3vQbszERsxTXwFZIAbg
Café Amazon ปตท.ปาลัส2,QF7C+7H4 ตำบล กระหวะ อำเภอ มายอ ปัตตานี 94190 ประเทศไทย,6.7631451,101.4714506,4.2,50,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,1,1.88,ChIJT8pYg5ilszERgffk1xFImJI
PTT Palas Amazon Cafe,42 ตำบล ลางา อำเภอ มายอ ปัตตานี 94190 ประเทศไทย,6.7531116,101.4852262,4.2,12,ไม่สามารถระบุได้,,1,1.89,ChIJM29ATg-lszERRZrnJNgVlgQ
Café Amazon,"7/2 ม.1ถ.เพชรเกษม ต.ควน อ.ปานาเระ จ.ปัตตานี, ตำบล พ่อมิ่ง อำเภอ ปะนาเระ ปัตตานี 94130 ประเทศไทย",6.8032569,101.5470733,3.0,5,ไม่สามารถระบุได้,,0,8.8,ChIJ_____z-wszERrLJ_G3WVtso
Café Amazon,เลขที387 หมู่ 15 ตำบล ละงู อำเภอละงู สตูล 91110 ประเทศไทย,6.873118900000001,99.7827173,4.5,58,ไม่สามารถระบุได้,,0,3.26,ChIJN0z23fdRTDARnS_fjzna-Do
คาเฟ่ อเมซอน,"227 ม.9 ต.ละงู อ.ละงู จ.สตูล, ตำบล ละงู อำเภอละงู สตูล 91110 ประเทศไทย",6.8858228,99.8093478,4.3,73,ไม่สามารถระบุได้,,0,3.26,ChIJm5z1XUpRTDARsiZ_8D5jefc
Café Amazon ปตท. ควนกาหลง ซ.9,V264+RHM ตำบล ควนกาหลง อำเภอ ควนกาหลง สตูล 91130 ประเทศไทย,6.8621764,100.0064935,4.2,179,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,10.78,ChIJJ3nCZ8z7TDARg8Xv26hSA_k
อเมซอนที่ใหญ่ที่สุดในภาคใต้,WCR3+79W ถ. สนามบิน-ลพบุรีราเมศวร์ ตำบล ควนลัง อำเภอหาดใหญ่ สงขลา 90110 ประเทศไทย,6.940742999999999,100.4034422,4.5,733,ไม่สามารถระบุได้,ผู้โดยสาร/นักท่องเที่ยว,1,1.16,ChIJN22AOkPZTDAR3vuti6_Y8TU
คาเฟ่ อเมซอน สาขาเซ็นทรัลหาดใหญ่,ชั้น 3 เซ็นทรัลเฟสติวัล ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110 ประเทศไทย,6.9910535,100.4839376,4.3,123,ไม่สามารถระบุได้,,7,0.38,ChIJP4WEUDMoTTARXi4B8uPfVwA
คาเฟ่ อเมซอน,25/3 ม.1 ถ.เลี่ยงเมือง ต.ควนใหญ่ อำเภอหาดใหญ่ สงขลา 90110 ประเทศไทย,6.979578999999999,100.4613226,4.3,246,ไม่สามารถระบุได้,,0,2.1,ChIJHUxjYB8oTTARIBvu4ls93bU
Café Amazon,WCF8+7HC ตำบล คลองหลา อำเภอ คลองหอยโข่ง สงขลา 90230 ประเทศไทย,6.9231776,100.4163899,4.1,28,ไม่สามารถระบุได้,,0,2.41,ChIJg4ruKNTZTDARuHZhDU9RgVU
คาเฟ่ อเมซอน,ถ.เพชรเกษม ตำบลบ้านพรุ อำเภอหาดใหญ่ สงขลา 90250 ประเทศไทย,6.9077538,100.4699432,4.6,239,ไม่สามารถระบุได้,,1,1.75,ChIJbeRlsKnXTDAR7Y4Hp5OmLs0
คาเฟ่ อเมซอน,XFX3+Q4X ตำบล ควนลัง อำเภอหาดใหญ่ สงขลา 90110 ประเทศไทย,6.999484900000001,100.4528489,4.4,138,ไม่สามารถระบุได้,,4,1.19,ChIJc6-hUfMpTTAR7nuRHeMU7Dk
Café Amazon Petch Somboon,"1195 m, 4 เพชรเกษม ซอย 43 ตำบล ควนลัง อำเภอหาดใหญ่ สงขลา 90110 ประเทศไทย",6.9868992,100.3943971,4.3,63,ไม่สามารถระบุได้,,0,3.08,ChIJMRyzdHgnTTARyr4vOv59BlQ
Café Amazon,168 ตำบลบ้านไร่ อำเภอหาดใหญ่ สงขลา 90250 ประเทศไทย,6.8919805,100.4689804,3.0,7,ไม่สามารถระบุได้,,1,1.75,ChIJ97YJSQDXTDARI8Go8dqsmFk
Café Amazon,"PTT Petrol Station, Phetkasam Road XFHJ+74W ตำบล คอหงส์ อำเภอหาดใหญ่ สงขลา 90110 ประเทศไทย",6.978244800000001,100.4803177,3.9,13,ไม่สามารถระบุได้,,3,1.47,ChIJpS2ZVTEpTTARB1-aZ7r1ziE
Café Amazon สาขา ปตท.บ้านพรุ,117/2 ถ. กาญจนวนิช ตำบล คอหงส์ อำเภอหาดใหญ่ สงขลา 90250 ประเทศไทย,6.9623661,100.4761505,4.6,132,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,1,1.82,ChIJR_G7BM_XTDARV4WzL0KbAVc
Café Amazon ปตท.สนามบินหาดใหญ่,XCFH+CXF ตำบล ควนลัง อำเภอหาดใหญ่ สงขลา 90110 ประเทศไทย,6.9735725,100.4299151,4.3,39,ไม่สามารถระบุได้,"ผู้โดยสาร/นักท่องเที่ยว, ผู้ใช้รถยนต์/นักเดินทาง",0,3.53,ChIJ_1PLDwDZTDARPp0s1WC-mzU
Café Amazon,W9PV+JG6 ท่าอากาศยานนานาชาติหาดใหญ่ ตำบล คลองหลา อำเภอ คลองหอยโข่ง สงขลา 90115 ประเทศไทย,6.936527799999999,100.3937616,3.9,14,ไม่สามารถระบุได้,,1,1.17,ChIJ5VEjo5XZTDARLd8Yrofk5kc
คาเฟ่ อเมซอน สาขา ไดอาน่า หาดใหญ่,ชั้น G เลขที่ A1 หมู่บ้าน ล็อค A1 ห้างสรรพสินค้าไอดาน่า หาดใหญ่ ถนน ศรีภูวนารถ ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110 ประเทศไทย,6.997305,100.47792,4.3,25,ไม่สามารถระบุได้,นักช้อป,9,0.6,ChIJk9WSFicpTTARF_6sRJ5pgGQ
Café Amazon สาขาสถานีขนส่งหาดใหญ่,สถานีขนส่งหาดใหญ่ 73 Chotevittayakul Road ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110 ประเทศไทย,6.9939956,100.4822387,4.3,20,ไม่สามารถระบุได้,ผู้โดยสาร/นักท่องเที่ยว,8,0.38,ChIJD5JNqFMpTTAR7jtngxDYXpM
Café Amazon anon,27 2 ตำบล นาหม่อม อำเภอ นาหม่อม สงขลา 90310 ประเทศไทย,6.95851,100.5648558,4.8,15,ไม่สามารถระบุได้,,0,4.62,ChIJt5xjwTTVTDARW2oGjXMfnUE
Café Amazon ปตท.นาหม่อมปิโตรเลียม,ตำบล นาหม่อม อำเภอ นาหม่อม สงขลา 90310 ประเทศไทย,6.964771000000001,100.5234916,4.3,243,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,4.63,ChIJH04P-QXWTDARnKSgbyLqsmk
Café Amazon ปตท.ป่าชิง,XM2V+RC4 ตำบล คลองเปียะ อำเภอจะนะ สงขลา 90130 ประเทศไทย,6.9520136,100.6935656,4.3,132,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,5.84,ChIJDUaFfBYqszERrW9dsMvq7uY
